libro,termino,frecuencia
2 B R 0 2 B,wehling,22
2 B R 0 2 B,hitz,21
2 B R 0 2 B,painter,14
2 B R 0 2 B,people,13
2 B R 0 2 B,duncan,12
2 B R 0 2 B,orderly,11
2 B R 0 2 B,happy,10
2 B R 0 2 B,old,10
2 B R 0 2 B,good,7
2 B R 0 2 B,leora,7
2 B R 0 2 B,triplets,7
2 B R 0 2 B,life,6
2 B R 0 2 B,live,6
2 B R 0 2 B,mural,6
2 B R 0 2 B,number,6
Keep Out,years,12
Keep Out,mars,9
Keep Out,air,8
Keep Out,conditions,7
Keep Out,dome,7
Keep Out,martians,7
Keep Out,earth,6
Keep Out,live,6
Keep Out,children,5
Keep Out,gradually,5
Keep Out,tomorrow,5
Keep Out,kill,4
Keep Out,long,4
Keep Out,planet,4
Keep Out,space,4
Navy Day,army,13
Navy Day,navy,12
Navy Day,congress,9
Navy Day,general,9
Navy Day,water,7
Navy Day,admiral,6
Navy Day,surface,6
Navy Day,forward,5
Navy Day,gentlemen,5
Navy Day,wingrove,5
Navy Day,line,4
Navy Day,morning,4
Navy Day,naval,4
Navy Day,sea,4
Navy Day,world,4
The Eyes Have It,eyes,9
The Eyes Have It,julia,6
The Eyes Have It,arm,4
The Eyes Have It,heart,4
The Eyes Have It,passage,4
The Eyes Have It,beings,3
The Eyes Have It,earth,3
The Eyes Have It,incredible,3
The Eyes Have It,knowledge,3
The Eyes Have It,obviously,3
The Eyes Have It,quite,3
The Eyes Have It,reference,3
The Eyes Have It,species,3
The Eyes Have It,wife,3
The Eyes Have It,absolutely,2
