libro,termino_objetivo,termino_asociado,correlacion,frecuencia,segmentos
Keep Out,mars,children,0.6324555320336759,5,4
Keep Out,mars,martians,0.4472135954999579,7,3
Keep Out,mars,conditions,0.4472135954999579,7,3
Keep Out,mars,gradually,0.4472135954999579,5,3
Keep Out,mars,space,0.4472135954999579,4,3
Keep Out,mars,long,0.4472135954999579,4,3
Keep Out,mars,temperature,0.4472135954999579,3,3
Keep Out,mars,cold,0.4472135954999579,3,3
Keep Out,mars,inside,0.4472135954999579,3,3
Keep Out,mars,glassite,0.316227766016838,3,2
Keep Out,mars,daptine,0.316227766016838,3,2
Keep Out,mars,food,0.316227766016838,3,2
